,PLAYLIST WEEK OF APRIL 06/2026,,,,,,
CAT.,ARTIST,TITLE,WKS,,SPINS,,
J,CORY WONG/STEPHEN DAY,TONGUE TIED,18,2,276,,
J,CHARLIE PUTH,CHANGES,16,2,229,,
J,BRUNO MARS,I JUST MIGHT,12,2,180,,
J,OLIVIA DEAN,SO EASY (TO FALL IN LOVE),7,2,97,,
J,KEM FT BONEY JAMES,GIVE MY LOVE (remix),2,2,15,,
,,,,,,,
CAT.,ARTIST,TITLE,WKS,,SPINS,,
P,3rd FORCE,ONWARD AND UPWARD,11,GT,127,,
P,RICK BRAUN,GIVE IT ALL YOU GOT,10,TS,114,,
P,JJ SANSAVERINO,LET IT GO,9,G,101,,
P,JEFF RYAN,SPEAKEASY,8,S,87,,
P,MINDI ABAIR,NOUVEAU SOUL,7,S,75,,
P,GREGORY GOODLOE,UNLIMITED,6,G,64,,
P,NORMAN BROWN,CHILLAX,5,G,50,,
P,CAROL ALBERT,CITY WALK,4,P ,36,,
P,BLAKE AARON,THE UPSIDE,3,G,23,,
P,SKINNY HIGHTOWER/A. PARCHMENT,RED LIGHTS,2,T,14,,
P,PAUL BROWN,SO MUCH TO SAY,NEW,G,,,
,PRIME/SECONDARY,,,,,,
Q,LINDSEY WEBSTER,MUSIC IN ME,12,V,139,,
,,,,,,,
,,,,,,,
,,,,,,,
CAT.,ARTIST,TITLE,WKS,,SPINS,,
PC,THE RAHN BROTHERS,PACIFIC BREEZE,18,3,120,,
PC,ALEXANDER BOYTON JR/FT.DAVID MANN,LAUGHTER,11,3,70,,
PC,AVERY RAQUEL,SLOW MOTION,7,2,42,,
PC,STEVE OLIVER FT. PETER WHITE,DANCING IN THE SAND,6,3,35,,
PC,ELYSIA BIRO,GENTLEMAN BLUE,2,2,7,,
,CONSIDERATIONS,,,,,,
,MICHAEL BROENING,MAKE IT LAST,3,P ,,,
,REBECCA JADE FT. C.STANDRING,NOT ME NO WAY,3,V,,,
,DAVID BENOIT/JEFF LORBER,BOARDING PASS,3,P ,,,
,MICHAEL MANI,NIGHT SHIFT,3,P ,,,
,CHRIS STANDRING,HOLLYWOOD HUSTLE,3,G,,,
,STEVE COLE,KNOCK OUT,3,S ,,,
,LES SABLER,CAFE ON THE SQUARE,3,G,,,
,JAY ROWE,THE NEXT STEP,3,P ,,,
,,,,,,,
,,,,,,,
,STEPHEN SANCHEZ,SWEET LOVE,2,V,,,
,INCOGNITO/MAYSA,LOST UNTIL I WANT TO BE FOUND,2,V,,,
,ERIN STEVENSON,SAY SOMETHING,2,V,,,
,MAYSA FT. JJ SANSAVERINO,STREET LIFE,2,v,,,
,LINDSEY WEBSTER/STOKELY,TWO HEARTS,2,V,,,
,,,,,,,
PC,ALESSIA CARA FT. NORAH  JONES,I'M IN TROUBLE,3,V,,,
PC,GM HASSELBACH/CHRIS STANDRING,SWIZZLE STICK*,3,TG,,,
PC,DEMO CATES W. J.LORBER/S.FOMIN,YOU'RE SO EARTHY,3,SP,,,
PC,ROB TARDIK/WALLE LARSSON,BRING ME JOY,3,GS,,,
PC,ROBYN BLACK,DON'T SAY IT IN WORDS,2,V,,,
PC,KEN TOBIAS,DOWN IN HOLLYWOOD,2,V,,,
PC,EDDIE BULLEN/A.NERO/D. HASTINGS,UNSTOPPABLE SHINE,2,V,,,
PC,PAULA LETANG,GIVING YOU MORE,2,V,,,
PC,JC SOL,PILLOW TALK,2,V,,,
,,,,,,,
,* -APRIL 2026 RELEASE,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
