,,,,,,,,,,,,,,,,,,,,,
"TW: Feb 22 - Feb 28        LW: Feb 15 - Feb 21        Panel: Mediabase - Published Canada Panel        Format: Hot AC        Min Spins Cut off: 1        Hide French Songs: Yes",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Rank,,,Artist,Title,Label,Cancon,Spins,,,Dayparts,,,,,Impressions,Stations,,"Avg. Station Rotations",,,
LW,TW,,,,,,TW,LW,+/-,OVN,AMD,MID,PMD,EVE,TW,On,New,On,TW,LW,+/-
1,1,Yes,"BRUNO MARS","I Just Might",Atlantic,,1647,1636,11,460,220,342,277,348,4.914,33,0,33,49.9,49.6,0.3
2,2,,"OLIVIA DEAN","Man I Need",Island/Republic,,1580,1594,-14,405,240,316,261,358,4.613,33,0,33,47.9,48.3,-0.4
3,3,,"TAYLOR SWIFT",Opalite,Republic,,1538,1562,-24,421,210,310,275,322,4.437,33,0,33,46.6,47.3,-0.7
4,4,,"TAYLOR SWIFT","The Fate Of Ophelia",Republic,,1342,1343,-1,363,174,281,236,288,4.015,33,0,33,40.7,40.7,-0.0
5,5,,"ALEX WARREN",Ordinary,Atlantic,,1147,1168,-21,298,132,271,204,242,2.649,35,0,35,32.8,33.4,-0.6
6,6,Yes,RAYE,"WHERE IS MY HUSBAND!","Human Re/The Orchard",,1098,1087,11,306,146,217,188,241,3.586,31,0,31,35.4,35.1,0.4
7,7,,SOMBR,"Back To Friends",Warner,,999,1009,-10,259,162,200,175,203,2.042,32,1,32,31.2,31.5,-0.3
10,8,Yes,"JUSTIN BIEBER",DAISIES,"Def Jam/Republic",,944,912,32,257,131,205,170,181,2.567,33,0,33,28.6,27.6,1.0
8,9,,"SOFIA CAMARA","Girls Like You",Mercury/Republic,Yes,909,986,-77,229,143,186,162,189,2.308,32,0,32,28.4,30.8,-2.4
9,10,,"HUNTR/X, EJAE, AUDREY NUNA...",Golden,Republic,,871,919,-48,246,119,179,150,177,1.703,30,0,30,29.0,30.6,-1.6
11,11,,"HARRY STYLES",Aperture,Columbia,,773,797,-24,206,77,174,155,161,1.548,31,0,31,24.9,25.7,-0.8
12,12,,"SABRINA CARPENTER","When Did You Get Hot?",Island/Republic,,733,739,-6,218,89,163,120,143,1.811,28,0,28,26.2,26.4,-0.2
15,13,Yes,"D GUETTA, T SWIMS, TONES AND I","Gone Gone Gone","Atlantic UK/Warner",,668,633,35,178,77,159,131,123,2.723,33,0,33,20.2,19.2,1.1
13,14,Yes,"JADE LEMAC","Running Home","WM Canada/EastWest",Yes,661,661,0,175,88,143,104,151,1.453,29,0,29,22.8,22.8,0.0
16,15,Yes,"OLIVIA DEAN","So Easy (To Fall In Love)",Island/Republic,,521,481,40,135,50,104,95,137,1.502,27,5,27,19.3,17.8,1.5
18,16,Yes,TEDY,"I Hope","Sony Music Canada",Yes,479,453,26,118,70,103,86,102,1.583,29,7,29,16.5,15.6,0.9
17,17,,"BENSON BOONE","Mr Electric Blue","Night Street/Warner",,460,481,-21,143,57,99,84,77,1.192,29,1,29,14.4,15.0,-0.7
19,18,Yes,"LOUD LUXURY","UH OH! f/Natalie Jane",Casablanca/Republic,Yes,384,382,2,93,51,89,61,90,0.993,20,1,20,18.3,18.2,0.1
20,19,,"FELIX CARTAL & REVE","Dancing In A Dream","Physical Presents",Yes,237,248,-11,51,24,64,44,54,0.831,18,0,18,13.2,13.8,-0.6
22,20,Yes,"TATE MCRAE","TIT FOR TAT",RCA,,205,170,35,60,10,37,44,54,0.330,20,4,20,10.3,8.5,1.8
21,21,,"MAX MCNOWN","Better Me For You",Columbia,,195,237,-42,58,25,44,34,34,0.931,11,0,11,17.7,21.5,-3.8
24,22,Yes,"NOAH KAHAN","The Great Divide",Mercury/Republic,,187,146,41,59,11,34,43,40,0.431,18,5,18,9.8,7.7,2.2
27,23,Yes,SOMBR,Homewrecker,Warner,,166,118,48,31,11,33,39,52,0.524,27,9,27,5.4,3.8,1.5
23,24,,"SAM DRYSDALE","Cold Water",Slaight,Yes,166,167,-1,33,22,31,32,48,0.420,15,0,15,11.1,11.1,-0.1
26,25,Yes,"MEGHAN TRAINOR","Still Don't Care",Epic,,138,126,12,44,10,28,19,37,0.163,18,0,18,7.7,7.0,0.7
25,26,,"KATY PERRY",bandaids,Capitol/ICLG,,135,141,-6,30,17,28,29,31,0.197,17,0,17,7.9,8.3,-0.4
28,27,,RENFORSHORT,"feeling good",Nettwerk,Yes,110,114,-4,25,15,20,22,28,0.252,10,0,10,10.0,10.4,-0.4
33,28,Yes,"FRANK WALKER/J. ROSS/N. JEAN..","Lay It On Me","Palm Tree",Yes,105,77,28,19,17,22,19,28,0.836,17,3,17,5.8,4.3,1.6
30,29,,"ALEX WARREN","Bloodline w/Jelly Roll",Atlantic,,101,104,-3,38,12,22,23,6,0.512,7,1,7,12.6,13.0,-0.4
29,30,,"MYLES SMITH & NIALL HORAN","Drive Safe",RCA,,99,106,-7,34,5,24,14,22,0.577,12,1,12,8.3,8.8,-0.6
35,31,Yes,"JF PAUZE","Puisqu'Il Faut","La Tribu",Yes,80,72,8,10,18,14,13,25,0.491,3,0,3,26.7,24.0,2.7
46,32,Yes,"ELLA LANGLEY","Choosin' Texas","SAWGOD/Col./Triple Tigers",,72,48,24,19,5,14,8,26,0.264,17,13,17,4.2,2.8,1.4
31,33,,"MUMFORD & SONS","Rubber Band Man w/Hozier",GOTR/Columbia/Glassnote,,72,81,-9,28,8,18,11,7,0.383,3,0,3,18.0,20.3,-2.3
37,34,Yes,SOMBR,"12 To 12",Warner,,71,69,2,26,3,17,13,12,0.166,6,0,6,11.8,11.5,0.3
36,35,,"JAY SCOTT","On My Way",117,Yes,67,69,-2,7,11,14,6,29,0.340,3,0,3,22.3,23.0,-0.7
34,36,,"VIRGINIA TO VEGAS","Million Ways",Wax,Yes,66,76,-10,12,7,15,16,16,0.177,13,0,13,4.7,5.4,-0.7
39,37,Yes,YUNGBLUD,Zombie,Capitol/ICLG,,63,60,3,22,6,16,13,6,0.407,3,0,3,21.0,20.0,1.0
32,38,,"MYLES SMITH","Stay (If You Wanna Dance)",RCA,,63,80,-17,20,5,10,10,18,0.081,5,1,5,12.6,16.0,-3.4
43,39,Yes,"TIA WOOD","Sage My Soul","Sony Music Canada",Yes,59,51,8,8,12,14,11,14,0.507,4,1,4,11.8,10.2,1.6
45,40,Yes,"LES TROIS ACCORDS",Marrakech,"La Tribu",Yes,56,50,6,5,10,12,4,25,0.205,3,0,3,18.7,16.7,2.0
44,41,Yes,"JUSTIN BIEBER",YUKON,"Def Jam/Republic",,55,51,4,14,9,9,8,15,0.148,11,0,11,4.6,4.3,0.3
55,42,Yes,"FREYA SKYE","silent treatment",Hollywood,,53,36,17,19,5,7,11,11,0.317,16,1,16,3.3,2.3,1.1
49,43,Yes,LOUD,"Signe f/Statzz","Joy Ride",Yes,52,46,6,10,5,9,3,25,0.338,3,1,3,17.3,15.3,2.0
50,44,Yes,HARRISON,"All The Things She Said","One Seven",,50,42,8,17,1,15,8,9,0.385,3,1,3,16.7,14.0,2.7
40,45,,"ARPIN LEPINE","St Felix","Cook House",Yes,50,53,-3,0,9,11,7,23,0.231,2,0,2,25.0,26.5,-1.5
42,46,,"VINCE LEMIRE","A La Bonne Place","Les Disques Passeport",Yes,49,51,-2,0,8,10,6,25,0.208,3,0,3,16.3,17.0,-0.7
41,47,,"LAURENCE ST-MARTIN","Seche Tes Pleurs","Prod Véronique Labbé",Yes,46,52,-6,4,6,8,3,25,0.290,3,0,3,15.3,17.3,-2.0
105,48,Yes,"CLASSE MOYENNE & RYMZ","Au Fond Des Bois","Disques NOW",Yes,42,13,29,7,3,6,2,24,0.176,3,1,3,14.0,4.3,9.7
48,49,,"JOSH ROSS","Hate How You Look","Core/UMC/Mercury Nash",Yes,42,47,-5,16,3,14,9,0,0.377,3,1,3,14.0,15.7,-1.7
57,50,Yes,"SARA DUFOUR","Chu Melee",Coyote,Yes,41,34,7,5,7,8,1,20,0.221,3,0,3,13.7,11.3,2.3
56,51,Yes,"TAME IMPALA",Dracula,Columbia,,39,34,5,16,3,10,8,2,0.192,5,0,5,6.5,5.7,0.8
63,52,Yes,"MATT LANG","She Stole My Truck",Independent,Yes,38,30,8,11,6,13,8,0,0.548,2,0,2,19.0,15.0,4.0
