"Station Playlist",,,,,,,,,,,,,,,,,,,,,,,,
"Report Cycle: Published        LW: 02/15/2026 - 02/21/2026        TW: 02/22/2026 - 02/28/2026        Panel: Mediabase - All Canadian Stations        GRC: Currents and Recurrents        Show Top: 150        Station: CIWV-FM/Canada-Main AC/Vancouver, BC/Durham Radio Inc",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Station Rank",,Artist,Title,Cancon,Label,Year,Spins,,,Dayparts,,,,,"Market Info",,Impressions,,"Historical Data Since: 11/23/2023",,"Format Comparison",,,"6am to 7pm",,"W/O Ovn",
LW,TW,,,,,,TW,LW,+/-,OVN,AMD,MID,PMD,EVE,"CIWV-FM Share(%)","Market Spins TW","Reach/ Mill","Imp Rank","First Played","Hist Spins",Rank,Avg,CIWV,Rank,TW,Rank,TW
2,1,"CORY WONG","Tongue Tied f/Stephen Day",,"No Coincidence",2025,16,17,-1,4,2,4,3,3,100,16,0.000,3,12/09/25,200,426,16,0,1,9,2,12
3,2,"SARA BAREILLES","Salt Then Sour Then Sweet",,Epic,2025,16,16,0,4,3,3,3,3,100,16,0.000,4,12/03/25,212,423,16,0,2,9,1,12
4,3,"BRUNO MARS","I Just Might",,Atlantic,2026,16,16,0,4,3,3,3,3,9,184,0.000,1,01/20/26,103,1,20,-4,3,9,4,12
5,4,"CHARLIE PUTH",Changes,,Atlantic,2025,16,16,0,4,2,4,2,4,94,17,0.000,2,12/30/25,150,97,3,+13,4,8,3,12
15,5,"LINDSEY WEBSTER","Music In Me",,Shanachie,2026,14,12,2,5,2,3,2,2,100,14,0.000,5,01/21/26,79,482,14,0,5,7,8,9
6,6,"RICK BRAUN","Give It All You Got f/T. Scott",,Brauntosoarus,2025,13,14,-1,5,1,2,2,3,100,13,0.000,11,02/03/26,57,542,13,0,12,5,12,8
7,7,"VINCENT INGALA","That Familiar Feeling",,"Shanachie Ent",2024,13,14,-1,4,0,3,4,2,100,13,0.000,12,01/13/26,93,543,13,0,6,7,10,9
8,8,LEMEK,"Stepping Hot f/Nathan Mitchell",,"Trippin 'N' Rhythm",2025,13,14,-1,3,1,4,1,4,100,13,0.000,10,12/03/25,161,540,13,0,8,6,7,10
9,9,"JJ SANSAVERINO","Let It Go",,Innervision,2026,13,14,-1,2,2,3,2,4,100,13,0.000,9,02/10/26,42,541,13,0,7,7,5,11
11,10,"3RD FORCE","Onward And Upward f/L. Rollins",,Baja/TSR,2025,13,13,0,3,2,4,0,4,100,13,0.000,6,01/27/26,66,531,13,0,9,6,6,10
12,11,"BRIAN SIMPSON","Blue Mystique",,Shanachie,2025,13,13,0,6,0,3,2,2,100,13,0.000,7,12/30/25,119,529,13,0,13,5,15,7
20,12,"JEFF RYAN",Speakeasy,,"Woodward Avenue",2024,13,7,6,4,1,2,2,4,100,13,0.000,8,11/15/25,30,512,13,0,14,5,9,9
,13,"OLIVIA DEAN","So Easy (To Fall In Love)",,Island/Republic,2025,12,0,12,4,1,3,2,2,18,67,0.000,13,02/24/26,20,30,8,+4,10,6,13,8
10,14,"KAYLA WATERS",Lush,,Shanachie,2025,11,14,-3,2,1,5,0,3,100,11,0.000,14,11/22/25,156,639,11,0,11,6,11,9
14,15,"RICHARD ELLIOT",Driftin',,Shanachie,2025,11,12,-1,4,0,4,1,2,100,11,0.000,15,01/07/26,101,631,11,0,15,5,16,7
,16,"MINDI ABAIR","Nouveau Soul",,"Pretty Good For A Girl",2025,9,0,9,2,2,2,0,3,100,9,0.000,16,02/07/26,19,695,9,0,18,4,17,7
16,17,"KARMA SOUNDS","Remember Who You Are ...",Yes,---,2026,8,8,0,0,2,1,2,3,100,8,0.000,17,01/08/26,61,821,8,0,16,5,14,8
1,18,"AOS (ARCHITECTS OF SOUND)","Every Kinda People f/ERoberson",,"SRG Jazz",2025,7,17,-10,2,2,1,0,2,100,7,0.000,19,11/12/25,241,975,7,0,21,3,21,5
17,19,"ELYSIA BIRO","Just Wait A Minute",Yes,"Deutsche Grammophon/UMC",2025,7,7,0,0,2,1,1,3,100,7,0.000,20,11/18/25,101,936,7,0,19,4,19,7
18,20,"ALEXANDER BOYNTON, JR.","Laughter f/David Mann",,A-trainbass,2025,7,7,0,0,2,2,1,2,100,7,0.000,18,01/27/26,37,938,7,0,17,5,18,7
19,21,"RAHN BROTHERS","Pacific Breeze",Yes,"Side 2",2025,7,7,0,0,2,1,1,3,100,7,0.000,21,12/09/25,83,930,7,0,20,4,20,7
26,22,"TOMMY DAVIDSON","Sweet Reunion f/Dave Koz",,"One Song",2022,5,4,1,2,1,1,0,1,100,5,0.000,22,04/23/24,190,1231,5,0,22,2,22,3
13,23,"RAGAN WHITESIDE","Fancy Footwork",,Randis,2025,4,13,-9,2,0,0,1,1,100,4,0.000,26,11/18/25,178,1713,4,0,51,1,28,2
23,24,GIVEON,"RATHER BE",,"Not So Fast/Epic",2025,4,5,-1,2,0,2,0,0,100,4,0.000,24,06/10/25,320,1644,4,0,23,2,29,2
28,25,"LENNY KRAVITZ",Honey,,Roxie/BMG,2024,4,4,0,1,1,0,1,1,100,4,0.000,25,03/04/25,387,896,2,+2,24,2,23,3
174,26,"DIAMOND CAFE","When You Can't Resist",Yes,"Warner Music Canada",2024,4,1,3,1,0,1,1,1,100,4,0.000,23,02/27/24,327,1394,4,0,25,2,24,3
25,27,"MARK RONSON X RAYE",Suzanne,,RCA,2025,3,5,-2,1,1,1,0,0,100,3,0.000,41,07/15/25,311,1325,1,+2,26,2,46,2
27,28,HOZIER,"Too Sweet",,Columbia,2024,3,4,-1,1,1,0,0,1,4,68,0.000,34,05/07/24,461,N/A,6,-3,52,1,42,2
29,29,"JOHN MAYER","Last Train Home",,Columbia,2021,3,4,-1,1,0,1,1,0,100,3,0.000,35,11/24/23,248,1252,1,+2,27,2,34,2
41,30,"ELTON JOHN","After All f/Charlie Puth",,Interscope,2021,3,3,0,1,1,0,1,0,100,3,0.000,31,11/24/23,239,2091,3,0,28,2,32,2
45,31,"MICHAEL MASSARO","New World",Yes,"Michael Massaro",2022,3,3,0,0,1,1,0,1,100,3,0.000,42,04/20/24,226,2099,3,0,29,2,25,3
70,32,"DOOBIE BROTHERS","Learn To Let Go",,Rhino,2025,3,2,1,1,0,2,0,0,100,3,0.000,30,04/01/25,338,1964,3,0,30,2,38,2
78,33,"GABRIEL MARK HASSELBACH","Litmus Test f/Daniel Seguin",Yes,"Wind Tunnel",2021,3,2,1,0,0,0,1,2,100,3,0.000,32,04/20/24,171,1934,3,0,53,1,27,3
82,34,"HONEYBEAR, THE BAND","Walk Away",Yes,---,2024,3,2,1,1,0,1,1,0,100,3,0.000,33,05/23/25,92,1956,3,0,31,2,44,2
84,35,"REBECCA JADE","Show Me",,---,2022,3,2,1,1,0,1,0,1,100,3,0.000,44,11/26/23,152,1917,3,0,54,1,33,2
90,36,"MARC JORDAN","Tell Me Where It Hurts",Yes,"Cafe/Linus Ent.",2023,3,2,1,1,0,1,0,1,100,3,0.000,39,04/27/24,143,2006,3,0,55,1,45,2
92,37,"DAVE KOZ","The Closer We Get",Yes,"Just Koz Ent",2021,3,2,1,1,1,0,1,0,100,3,0.000,29,04/24/24,209,1978,3,0,32,2,40,2
108,38,"RAHN BROTHERS","Double Down",Yes,"Side 2",2023,3,2,1,1,0,0,1,1,100,3,0.000,43,05/02/24,196,2000,3,0,56,1,31,2
113,39,"LES SABLER","Patches' Groove",,"New Vista",2024,3,2,1,1,0,0,1,1,100,3,0.000,38,10/30/24,253,1994,3,0,57,1,30,2
117,40,"SAVED BY VIOLET","One On One",Yes,---,2022,3,2,1,1,1,0,1,0,100,3,0.000,46,04/23/24,226,1948,3,0,33,2,48,2
123,41,"TEDDY SWIMS","Lose Control",,Warner,2023,3,2,1,1,1,0,1,0,8,39,0.000,47,04/09/24,444,N/A,3,0,34,2,41,2
126,42,"THE WEEKND","Out Of Time",Yes,XO/Republic,2022,3,2,1,1,1,0,1,0,33,9,0.000,48,11/23/23,289,1184,1,+2,35,2,39,2
