WEEK 47 CIWV 98.3FM - WAVE PLAYLIST DEC 01 -2025 - Charted - Luminate Data On Demand Streaming  / Mediabase Airplay /  Billboard Smooth Jazz Top 30 SORT: #SPINS TW       ,,,,,,,,,,,,,,,,,,,
CAT.2 ,ARTIST,TITLE,WEEKS,CAT,Spins ATD,#Streams  CA,#Streams Van,#SpinsTW,#Stns  TW,Avg Spins,MB Cht, Rk,Peak,BB SJ Chart,Freq/ Listen ATD,Impres ATD,,,
J,OLIVIA DEAN,MAN I NEED,10,2,140,"2,072,706","168,511","3,219",115,28,CCHR+3,3,3,,12,"204,600",,,
J,AOS/ERIC ROBERSON,EVERY KIND OF PEOPLE,4,3,44,9,2,67,8,8,SJ,35,33,28,5,"81,840",,,
J,LAUFEY,LOVER GIRL,19,2,293,"312,181","29,640",29,13,2,CCHR+1,150,147,,24,"388,740",,,
J,SARA BAREILLES/BRANDI CARLILE,SALT THEN SOUR THEN SWEET,1,2,,"36,372","2,491",20,4,1,CHAC+1,301,301,,1,"20,460",,,
J,NICHOLAS COLE/KENNY LATTIMORE,LOVE ON IT,9,3,128,0,0,16,2,8,SJ,164,145,,11,"184,140",,,
CAT.3,ARTIST,TITLE,WEEKS,Code,Spins ATD,#Streams  CA,#Streams Van,#SpinsTW,#Stns  TW,Avg Spins,MB Cht, Rk,Peak,BB SJ Chart       ,Freq/    listen ATD,Impres ATD,,,
P,MARION MEADOWS,JUST DOING ME,6,S,62,33,6,209,12,17,SJ,1,1,4,7,"122,760",,,
P,JAZZ FUNK SOUL,OVER EASY,8,PSG,89,44,7,196,11,18,SJ,5,3,6,10,"163,680",,,
P,CHRIS STANDRING,CHOCOLATE SHAKE,11,G,124,56,3,160,12,13,SJ,8,8,5,13,"225,060",,,
P,RAGAN WHITESIDE,FANCY FOOTWORK,3,F,24,311,26,142,11,13,SJ,11,11,11,4,"61,380",,,
P,DAVE KOZ & SUMMER HORNS,VEHICLE,7,S,75,86,13,126,9,14,SJ,12,11,10,8,"143,220",,,
