Location,Title,Artist,Release Date,Imprint Label,Luminate ID,Activity,Week,Year,Date,Rank,Quantity,% Change
Canada,Tongue Tied,Cory Wong,2026-03-02,"Roundwound Media, LLC.",SGF28FCF1D89A34E17A383FFDC54A7A3A6,Airplay Spins,08,2026,2026-02-20 - 2026-02-26,1,17,0.0
Canada,Tongue Tied,Cory Wong,2026-03-02,"Roundwound Media, LLC.",SGF28FCF1D89A34E17A383FFDC54A7A3A6,Airplay Spins,07,2026,2026-02-13 - 2026-02-19,1,17,
Canada,Tongue Tied,Cory Wong,2026-03-02,"Roundwound Media, LLC.",SGF28FCF1D89A34E17A383FFDC54A7A3A6,Airplay Audience,08,2026,2026-02-20 - 2026-02-26,1,0,
Canada,Tongue Tied,Cory Wong,2026-03-02,"Roundwound Media, LLC.",SGF28FCF1D89A34E17A383FFDC54A7A3A6,Airplay Audience,07,2026,2026-02-13 - 2026-02-19,1,0,
Canada,Tongue Tied,Cory Wong,2026-03-02,"Roundwound Media, LLC.",SGF28FCF1D89A34E17A383FFDC54A7A3A6,Streams,08,2026,2026-02-20 - 2026-02-26,,1698,-0.23236889692585896
Canada,Tongue Tied,Cory Wong,2026-03-02,"Roundwound Media, LLC.",SGF28FCF1D89A34E17A383FFDC54A7A3A6,Streams,07,2026,2026-02-13 - 2026-02-19,,2212,
Canada,Changes,Charlie Puth,1991-01-31,ARTIST PARTNER,SG32380212FF49460A92ED1D129A1DE177,Airplay Spins,08,2026,2026-02-20 - 2026-02-26,2,16,0.0
Canada,Changes,Charlie Puth,1991-01-31,ARTIST PARTNER,SG32380212FF49460A92ED1D129A1DE177,Airplay Spins,07,2026,2026-02-13 - 2026-02-19,3,16,
Canada,Changes,Charlie Puth,1991-01-31,ARTIST PARTNER,SG32380212FF49460A92ED1D129A1DE177,Airplay Audience,08,2026,2026-02-20 - 2026-02-26,1,0,
Canada,Changes,Charlie Puth,1991-01-31,ARTIST PARTNER,SG32380212FF49460A92ED1D129A1DE177,Airplay Audience,07,2026,2026-02-13 - 2026-02-19,1,0,
Canada,Changes,Charlie Puth,1991-01-31,ARTIST PARTNER,SG32380212FF49460A92ED1D129A1DE177,Streams,08,2026,2026-02-20 - 2026-02-26,,40197,-0.03981941524937894
Canada,Changes,Charlie Puth,1991-01-31,ARTIST PARTNER,SG32380212FF49460A92ED1D129A1DE177,Streams,07,2026,2026-02-13 - 2026-02-19,,41864,
Canada,I Just Might,Bruno Mars,2026-01-09,ATLANTIC,SGF94BEE8684DE40FBB02614F434A115C8,Airplay Spins,08,2026,2026-02-20 - 2026-02-26,2,16,0.0
Canada,I Just Might,Bruno Mars,2026-01-09,ATLANTIC,SGF94BEE8684DE40FBB02614F434A115C8,Airplay Spins,07,2026,2026-02-13 - 2026-02-19,3,16,
Canada,I Just Might,Bruno Mars,2026-01-09,ATLANTIC,SGF94BEE8684DE40FBB02614F434A115C8,Airplay Audience,08,2026,2026-02-20 - 2026-02-26,1,0,
Canada,I Just Might,Bruno Mars,2026-01-09,ATLANTIC,SGF94BEE8684DE40FBB02614F434A115C8,Airplay Audience,07,2026,2026-02-13 - 2026-02-19,1,0,
Canada,I Just Might,Bruno Mars,2026-01-09,ATLANTIC,SGF94BEE8684DE40FBB02614F434A115C8,Streams,08,2026,2026-02-20 - 2026-02-26,,1312147,-0.03938378102160925
Canada,I Just Might,Bruno Mars,2026-01-09,ATLANTIC,SGF94BEE8684DE40FBB02614F434A115C8,Streams,07,2026,2026-02-13 - 2026-02-19,,1365943,
Canada,Salt Then Sour Then Sweet,SARA BAREILLES FEAT. BRANDI CARLILE,2025-11-14,EPIC,SG51EE18C4EA3B43BC90F2AB9BD50F35F5,Airplay Spins,08,2026,2026-02-20 - 2026-02-26,4,15,-0.0625
Canada,Salt Then Sour Then Sweet,SARA BAREILLES FEAT. BRANDI CARLILE,2025-11-14,EPIC,SG51EE18C4EA3B43BC90F2AB9BD50F35F5,Airplay Spins,07,2026,2026-02-13 - 2026-02-19,3,16,
Canada,Salt Then Sour Then Sweet,SARA BAREILLES FEAT. BRANDI CARLILE,2025-11-14,EPIC,SG51EE18C4EA3B43BC90F2AB9BD50F35F5,Airplay Audience,08,2026,2026-02-20 - 2026-02-26,1,0,
Canada,Salt Then Sour Then Sweet,SARA BAREILLES FEAT. BRANDI CARLILE,2025-11-14,EPIC,SG51EE18C4EA3B43BC90F2AB9BD50F35F5,Airplay Audience,07,2026,2026-02-13 - 2026-02-19,1,0,
Canada,Salt Then Sour Then Sweet,SARA BAREILLES FEAT. BRANDI CARLILE,2025-11-14,EPIC,SG51EE18C4EA3B43BC90F2AB9BD50F35F5,Streams,08,2026,2026-02-20 - 2026-02-26,,24230,-0.05639068463275956
Canada,Salt Then Sour Then Sweet,SARA BAREILLES FEAT. BRANDI CARLILE,2025-11-14,EPIC,SG51EE18C4EA3B43BC90F2AB9BD50F35F5,Streams,07,2026,2026-02-13 - 2026-02-19,,25678,
Canada,That Familiar Feeling,Vincent Ingala,2024-05-17,Shanachie,SG1E47819587DD4E5F92745A2D105E8176,Airplay Spins,08,2026,2026-02-20 - 2026-02-26,5,14,0.07692307692307693
Canada,That Familiar Feeling,Vincent Ingala,2024-05-17,Shanachie,SG1E47819587DD4E5F92745A2D105E8176,Airplay Spins,07,2026,2026-02-13 - 2026-02-19,9,13,
Canada,That Familiar Feeling,Vincent Ingala,2024-05-17,Shanachie,SG1E47819587DD4E5F92745A2D105E8176,Airplay Audience,08,2026,2026-02-20 - 2026-02-26,1,0,
Canada,That Familiar Feeling,Vincent Ingala,2024-05-17,Shanachie,SG1E47819587DD4E5F92745A2D105E8176,Airplay Audience,07,2026,2026-02-13 - 2026-02-19,1,0,
Canada,That Familiar Feeling,Vincent Ingala,2024-05-17,Shanachie,SG1E47819587DD4E5F92745A2D105E8176,Streams,08,2026,2026-02-20 - 2026-02-26,,36,-0.3684210526315789
Canada,That Familiar Feeling,Vincent Ingala,2024-05-17,Shanachie,SG1E47819587DD4E5F92745A2D105E8176,Streams,07,2026,2026-02-13 - 2026-02-19,,57,
Canada,Onward and Upward,3rd Force,2025-04-23,TSR RECORDS,SG0271783205374959812E884A1A4F1948,Airplay Spins,08,2026,2026-02-20 - 2026-02-26,6,13,0.0
Canada,Onward and Upward,3rd Force,2025-04-23,TSR RECORDS,SG0271783205374959812E884A1A4F1948,Airplay Spins,07,2026,2026-02-13 - 2026-02-19,9,13,
Canada,Onward and Upward,3rd Force,2025-04-23,TSR RECORDS,SG0271783205374959812E884A1A4F1948,Airplay Audience,08,2026,2026-02-20 - 2026-02-26,1,0,
Canada,Onward and Upward,3rd Force,2025-04-23,TSR RECORDS,SG0271783205374959812E884A1A4F1948,Airplay Audience,07,2026,2026-02-13 - 2026-02-19,1,0,
Canada,Onward and Upward,3rd Force,2025-04-23,TSR RECORDS,SG0271783205374959812E884A1A4F1948,Streams,08,2026,2026-02-20 - 2026-02-26,,14,-0.36363636363636365
Canada,Onward and Upward,3rd Force,2025-04-23,TSR RECORDS,SG0271783205374959812E884A1A4F1948,Streams,07,2026,2026-02-13 - 2026-02-19,,22,
Canada,Blue Mystique,Brian  Simpson,2025-01-29,Shanachie,SG0C5F419586D24EB5880C2DFF6606DD08,Airplay Spins,08,2026,2026-02-20 - 2026-02-26,6,13,0.0
Canada,Blue Mystique,Brian  Simpson,2025-01-29,Shanachie,SG0C5F419586D24EB5880C2DFF6606DD08,Airplay Spins,07,2026,2026-02-13 - 2026-02-19,9,13,
Canada,Blue Mystique,Brian  Simpson,2025-01-29,Shanachie,SG0C5F419586D24EB5880C2DFF6606DD08,Airplay Audience,08,2026,2026-02-20 - 2026-02-26,1,0,
Canada,Blue Mystique,Brian  Simpson,2025-01-29,Shanachie,SG0C5F419586D24EB5880C2DFF6606DD08,Airplay Audience,07,2026,2026-02-13 - 2026-02-19,1,0,
Canada,Blue Mystique,Brian  Simpson,2025-01-29,Shanachie,SG0C5F419586D24EB5880C2DFF6606DD08,Streams,08,2026,2026-02-20 - 2026-02-26,,31,0.47619047619047616
Canada,Blue Mystique,Brian  Simpson,2025-01-29,Shanachie,SG0C5F419586D24EB5880C2DFF6606DD08,Streams,07,2026,2026-02-13 - 2026-02-19,,21,
Canada,Give It All You Got,Rick Braun,2025-11-24,Brauntosoarus,SG0EEAACC9DA3041CFA2425770B2F52D91,Airplay Spins,08,2026,2026-02-20 - 2026-02-26,6,13,-0.13333333333333333
Canada,Give It All You Got,Rick Braun,2025-11-24,Brauntosoarus,SG0EEAACC9DA3041CFA2425770B2F52D91,Airplay Spins,07,2026,2026-02-13 - 2026-02-19,6,15,
Canada,Give It All You Got,Rick Braun,2025-11-24,Brauntosoarus,SG0EEAACC9DA3041CFA2425770B2F52D91,Airplay Audience,08,2026,2026-02-20 - 2026-02-26,1,0,
Canada,Give It All You Got,Rick Braun,2025-11-24,Brauntosoarus,SG0EEAACC9DA3041CFA2425770B2F52D91,Airplay Audience,07,2026,2026-02-13 - 2026-02-19,1,0,
Canada,Give It All You Got,Rick Braun,2025-11-24,Brauntosoarus,SG0EEAACC9DA3041CFA2425770B2F52D91,Streams,08,2026,2026-02-20 - 2026-02-26,,181,
Canada,Give It All You Got,Rick Braun,2025-11-24,Brauntosoarus,SG0EEAACC9DA3041CFA2425770B2F52D91,Streams,07,2026,2026-02-13 - 2026-02-19,,0,
Canada,Let It Go,JJ Sansaverino,2026-01-10,Innervision Records,SG1072358F0C314663A4B8D95B4CF9C9AA,Airplay Spins,08,2026,2026-02-20 - 2026-02-26,6,13,0.08333333333333333
Canada,Let It Go,JJ Sansaverino,2026-01-10,Innervision Records,SG1072358F0C314663A4B8D95B4CF9C9AA,Airplay Spins,07,2026,2026-02-13 - 2026-02-19,15,12,
Canada,Let It Go,JJ Sansaverino,2026-01-10,Innervision Records,SG1072358F0C314663A4B8D95B4CF9C9AA,Airplay Audience,08,2026,2026-02-20 - 2026-02-26,1,0,
Canada,Let It Go,JJ Sansaverino,2026-01-10,Innervision Records,SG1072358F0C314663A4B8D95B4CF9C9AA,Airplay Audience,07,2026,2026-02-13 - 2026-02-19,1,0,
Canada,Let It Go,JJ Sansaverino,2026-01-10,Innervision Records,SG1072358F0C314663A4B8D95B4CF9C9AA,Streams,08,2026,2026-02-20 - 2026-02-26,,19,-0.3870967741935484
Canada,Let It Go,JJ Sansaverino,2026-01-10,Innervision Records,SG1072358F0C314663A4B8D95B4CF9C9AA,Streams,07,2026,2026-02-13 - 2026-02-19,,31,
Canada,Stepping Hot,Lemek,2025-05-23,Trippin N' Rhythm Records,SG2B0EA7658DF44045BAA512D2539C361D,Airplay Spins,08,2026,2026-02-20 - 2026-02-26,6,13,0.0
