"Published Chart",,,,,,,,,,,,,,,,,,,,,,,,
"Week Ending: 11/22/2025        Panel: Mediabase - Published Canada Panel        Format: Hot AC        GRC: Currents and Recurrents        Min Spins Cut off: 5        Show Top: 150",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PK,Rank,,,Artist,Title,Label,Cancon,"Wks On",Spins,,,Dayparts,,,,,Impressions,,,,,Stations,,"Avg. Station Rotations",,,,"w/o OVN",,"6am to 7pm",,"Format By Format Rank",,,,,,
,LW,TW,,,,,,,TW,LW,+/-,OVN,AMD,MID,PMD,EVE,TW,LW,+/-,rTW,rLW,On,New,On,TW,LW,+/-,Rank,TW,Rank,TW,"Canada-Top 40","Canada-Hot AC","Canada-Main AC",Canada-Country,"Canada-Active Rock","Canada-Alternative Rock","Big Picture"
1,1,1,,"JUSTIN BIEBER",DAISIES,"Def Jam/Republic",,19,1263,1358,-95,361,173,254,212,263,3.774,4.012,-0.238,3,2,28,0,28,43.6,46.8,-3.3,3,902,3,639,2,1,4,-,-,-,2
2,3,2,Yes,"HUNTR/X, EJAE, AUDREY NUNA...",Golden,Republic,,15,1256,1221,35,336,176,245,232,267,3.735,3.686,0.049,4,4,26,0,26,46.5,45.2,1.3,1,920,1,653,5,2,3,-,-,-,3
1,2,3,,"ALEX WARREN",Ordinary,Atlantic,,32,1249,1342,-93,335,174,247,227,266,4.160,4.187,-0.027,1,1,30,0,30,40.3,43.3,-3.0,2,914,2,648,10,3,2,-,-,-,4
1,4,4,Yes,"TAYLOR SWIFT","The Fate Of Ophelia",Republic,,8,1188,1179,9,325,162,242,200,259,3.821,3.839,-0.018,2,3,28,0,28,41.0,40.7,0.3,4,863,4,604,1,4,1,-,-,-,1
5,7,5,Yes,"D GUETTA, T SWIMS, TONES AND I","Gone Gone Gone","Atlantic UK/Warner",,6,788,783,5,208,99,170,157,154,2.262,2.194,0.068,5,5,30,0,30,25.4,25.3,0.2,5,580,5,426,19,5,10,-,-,61,16
5,5,6,,"ED SHEERAN",Camera,Atlantic,,10,785,800,-15,225,89,153,137,181,2.004,1.980,0.024,7,6,28,0,28,27.1,27.6,-0.5,7,560,9,379,16,6,5,-,-,-,11
5,6,7,,"SOFIA CAMARA","Girls Like You","Universal Music Canada",Yes,18,763,795,-32,200,91,171,144,157,2.022,1.970,0.052,6,7,27,0,27,27.3,28.4,-1.1,6,563,6,406,11,7,13,-,-,-,15
8,10,8,Yes,"JAMIE FINE",Homesick,"ADA Canada",Yes,9,758,751,7,201,103,173,118,163,1.796,1.730,0.066,8,10,27,0,27,27.1,26.8,0.3,8,557,7,394,18,8,19,-,-,129,22
9,9,9,,"OLIVIA DEAN","Man I Need",Island/Republic,,7,739,757,-18,206,86,146,126,175,1.750,1.762,-0.012,9,8,28,2,28,25.5,26.1,-0.6,10,533,10,358,6,9,9,-,-,51,8
