"Station Playlist",,,,,,,,,,,,,,,,,,,,,,,,
"Report Cycle: Published        LW: 11/09/2025 - 11/15/2025        TW: 11/16/2025 - 11/22/2025        Panel: Mediabase - All Canadian Stations        GRC: Show All        Show Top: 150        Station: CKPT-FM/Canada-Main AC/Peterborough, ON/Durham Radio Inc",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Station Rank",,Artist,Title,Cancon,Label,Year,Spins,,,Dayparts,,,,,"Market Info",,Impressions,,"Historical Data Since: 09/22/2007",,"Format Comparison",,,"6am to 7pm",,"W/O Ovn",
LW,TW,,,,,,TW,LW,+/-,OVN,AMD,MID,PMD,EVE,"CKPT-FM Share(%)","Market Spins TW","Reach/ Mill","Imp Rank","First Played","Hist Spins",Rank,Avg,CKPT,Rank,TW,Rank,TW
1,1,"BENSON BOONE","Sorry I'm Here For Someone...",,"Night Street/Warner",2025,22,22,0,6,4,2,5,5,67,33,0.028,1,03/15/25,649,6,9,+13,1,11,3,16
2,2,"CHAPPELL ROAN","Pink Pony Club",,Island/Republic,2023,22,22,0,5,4,2,4,7,45,49,0.027,4,01/04/25,671,18,7,+15,5,10,1,17
3,3,"SABRINA CARPENTER",Manchild,,Island/Republic,2025,22,21,1,6,3,5,3,5,46,48,0.028,2,07/05/25,229,11,13,+9,2,11,2,16
7,4,"JUSTIN BIEBER",DAISIES,,"Def Jam/Republic",2025,22,20,2,7,3,3,4,5,23,95,0.026,5,08/02/25,223,3,17,+5,6,10,5,15
4,5,"MYLES SMITH","Nice To Meet You",,RCA,2024,21,21,0,5,3,4,4,5,100,21,0.028,3,05/24/25,305,14,8,+13,3,11,4,16
5,6,"ALEX WARREN",Ordinary,,Atlantic,2025,21,21,0,6,4,2,4,5,22,95,0.026,6,04/12/25,503,2,17,+4,7,10,6,15
6,7,"LOLA YOUNG",Messy,,Island/Republic,2024,20,21,-1,7,3,3,4,3,56,36,0.025,7,02/08/25,629,N/A,6,+14,8,10,9,13
10,8,"ALEXANDER STEWART","His Problem Instead",Yes,"The Orchard/FAE",2024,19,19,0,6,2,2,4,5,51,37,0.022,13,04/01/25,496,N/A,10,+9,16,8,11,13
11,9,"CAMERON WHITCOMB",Quitter,Yes,Atlantic,2024,19,19,0,6,2,2,4,5,42,45,0.022,14,04/28/25,436,N/A,9,+10,17,8,10,13
15,10,"TAYLOR SWIFT","The Fate Of Ophelia",,Republic,2025,19,18,1,7,2,1,3,6,20,94,0.018,24,10/11/25,95,1,19,0,27,6,17,12
16,11,"BENSON BOONE","Mystical Magical",,"Night Street/Warner",2025,19,17,2,7,3,3,2,4,100,19,0.021,17,07/05/25,122,12,11,+8,18,8,18,12
8,12,"LADY GAGA","The Dead Dance",,Interscope/ICLG,2025,18,19,-1,7,3,2,3,3,33,54,0.020,20,09/20/25,100,7,13,+5,19,8,21,11
9,13,"ED SHEERAN",Camera,,Atlantic,2025,18,19,-1,7,1,3,1,6,43,42,0.016,32,09/27/25,98,4,13,+5,40,5,22,11
12,14,"LUKE COMBS","Fast Car",,"River House/Columbia Nash",2021,18,18,0,5,3,5,1,4,100,18,0.022,15,05/20/23,1516,N/A,3,+15,11,9,12,13
13,15,HOZIER,"Too Sweet",,Columbia,2024,18,18,0,5,3,4,2,4,40,45,0.023,11,04/27/24,1532,N/A,6,+12,12,9,13,13
14,16,"TATE MCRAE","Sports car",,RCA,2025,18,18,0,7,1,3,2,5,56,32,0.018,25,02/15/25,454,N/A,3,+15,28,6,23,11
20,17,"TEDDY SWIMS","The Door",,Warner,2023,18,17,1,6,3,3,4,2,100,18,0.024,9,04/13/24,835,N/A,4,+14,9,10,19,12
17,18,"ALICIA MOFFET","Lay Your Light",Yes,"Cult Nation",2025,17,17,0,6,1,3,3,4,29,58,0.019,22,09/08/25,179,N/A,11,+6,23,7,28,11
22,19,"MIKE DEMERO & DYNORO","Calling f/Sam Feldt",Yes,Artifice,2025,17,16,1,6,2,1,3,5,100,17,0.017,29,10/21/25,81,8,15,+2,29,6,27,11
23,20,"LOUD LUXURY",Crash,Yes,Armada,2025,17,16,1,6,1,3,2,5,100,17,0.017,28,08/09/25,245,N/A,4,+13,30,6,26,11
24,21,"POST MALONE","I Had Some Help f/M. Wallen",,"Big Loud/Mercury/Republic",2024,17,16,1,6,3,3,2,3,37,46,0.020,21,05/25/24,1386,N/A,5,+12,20,8,25,11
25,22,"SHAWN DESMAN X JAMIE FINE",Body,Yes,Wax,2025,17,16,1,6,1,3,2,5,100,17,0.017,30,05/03/25,293,N/A,8,+9,31,6,24,11
18,23,"ALEX SAMPSON","Pretty Baby",Yes,Warner,2024,16,17,-1,6,0,4,2,4,100,16,0.017,31,06/11/25,364,N/A,5,+11,32,6,30,10
19,24,"MYLES SMITH",Stargazing,,RCA,2024,16,17,-1,2,4,3,2,5,53,30,0.023,12,07/20/24,1079,N/A,7,+9,13,9,7,14
21,25,"GRACIE ABRAMS","That's So True",,Interscope/ICLG,2024,16,16,0,7,2,2,2,3,43,37,0.016,33,01/04/25,650,N/A,7,+9,33,6,34,9
26,26,"LADY GAGA & BRUNO MARS","Die With A Smile",,Interscope/ICLG,2024,15,15,0,2,2,3,3,5,48,31,0.021,18,08/16/24,1185,N/A,6,+9,21,8,14,13
28,27,"DEVON COLE","I Got You",Yes,Arista,2024,14,14,0,0,4,4,3,3,45,31,0.025,8,07/06/24,1034,N/A,9,+5,4,11,8,14
27,28,"CHAPPELL ROAN","Good Luck, Babe!",,Island/Republic,2024,13,15,-2,3,1,3,3,3,41,32,0.018,26,07/06/24,870,N/A,3,+10,24,7,32,10
29,29,"ED SHEERAN",Azizam,,Atlantic,2025,13,13,0,3,1,4,2,3,100,13,0.018,27,04/04/25,632,N/A,5,+8,25,7,31,10
36,30,"CHARLOTTE CARDIN",Confetti,Yes,"Cult Nation",2023,13,10,3,0,4,2,3,4,45,29,0.022,16,07/01/23,561,"1 g",4,+9,14,9,15,13
