,PLAYLIST WEEK OF APRIL 13/2026,,,,,,
CAT.,ARTIST,TITLE,WKS,,SPINS,,
J,CORY WONG/STEPHEN DAY,TONGUE TIED,19,2,290,,
J,CHARLIE PUTH,CHANGES,17,2,242,,
J,BRUNO MARS,I JUST MIGHT,13,2,193,,
J,OLIVIA DEAN,SO EASY (TO FALL IN LOVE),8,2,112,,
J,KEM FT BONEY JAMES,GIVE MY LOVE (remix),3,2,41,,
,,,,,,,
CAT.,ARTIST,TITLE,WKS,,SPINS,,
P,RICK BRAUN,GIVE IT ALL YOU GOT,11,TS,126,,
P,JJ SANSAVERINO,LET IT GO,10,G,111,,
P,JEFF RYAN,SPEAKEASY,9,S,98,,
P,MINDI ABAIR,NOUVEAU SOUL,8,S,85,,
P,GREGORY GOODLOE,UNLIMITED,7,G,75,,
P,NORMAN BROWN,CHILLAX,6,G,61,,
P,CAROL ALBERT,CITY WALK,5,P ,46,,
P,BLAKE AARON,THE UPSIDE,4,G,34,,
P,SKINNY HIGHTOWER/A. PARCHMENT,RED LIGHTS,3,T,25,,
P,PAUL BROWN,SO MUCH TO SAY,2,G,11,,
P,MICHAEL BROENING,MAKE IT LAST,NEW,P ,,,
,PRIME/SECONDARY,,,,,,
Q,3rd FORCE,ONWARD AND UPWARD,12,GT,138,,
T,THE RAHN BROTHERS,PACIFIC BREEZE,19,3,127,,
,,,,,,,
,,,,,,,
CAT.,ARTIST,TITLE,WKS,,SPINS,,
PC,ALEXANDER BOYTON JR/FT.DAVID MANN,LAUGHTER,12,3,76,,
PC,AVERY RAQUEL,SLOW MOTION,8,2,48,,
PC,STEVE OLIVER FT. PETER WHITE,DANCING IN THE SAND,7,3,41,,
PC,ELYSIA BIRO,GENTLEMAN BLUE,3,2,13,,
PC,GM HASSELBACH/CHRIS STANDRING,SWIZZLE STICK,NEW,3,,,
,CONSIDERATIONS,,,,,,
,,,,,,,
,REBECCA JADE FT. C.STANDRING,NOT ME NO WAY,3,V,,,
,DAVID BENOIT/JEFF LORBER,BOARDING PASS,3,P ,,,
,MICHAEL MANI,NIGHT SHIFT,3,P ,,,
,STEVE COLE,KNOCK OUT,3,S ,,,
,LES SABLER,CAFE ON THE SQUARE,3,G,,,
,JAY ROWE,THE NEXT STEP,3,P ,,,
,U-NAM,LE BAS,3,G,,,
,,,,,,,
,TEDDY SWIMS,MR KNOW IT ALL,2,,,,
,STEPHEN SANCHEZ,SWEET LOVE,2,V,,,
,INCOGNITO/MAYSA,LOST UNTIL I WANT TO BE FOUND,2,V,,,
,ERIN STEVENSON,SAY SOMETHING,2,V,,,
,MAYSA FT. JJ SANSAVERINO,STREET LIFE,2,v,,,
,LINDSEY WEBSTER/STOKELY,TWO HEARTS,2,V,,,
,,,,,,,
,,,,,,,
PC,ALESSIA CARA FT. NORAH  JONES,I'M IN TROUBLE,3,V,,,
PC,DEMO CATES W. J.LORBER/S.FOMIN,YOU'RE SO EARTHY,3,SP,,,
PC,ROB TARDIK/WALLE LARSSON,BRING ME JOY,3,GS,,,
PC,ROBYN BLACK,DON'T SAY IT IN WORDS,2,V,,,
PC,KEN TOBIAS,DOWN IN HOLLYWOOD,2,V,,,
PC,EDDIE BULLEN/A.NERO/D. HASTINGS,UNSTOPPABLE SHINE,2,V,,,
PC,PAULA LETANG,GIVING YOU MORE,2,V,,,
PC,JC SOL,PILLOW TALK,2,V,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
