"Published Chart",,,,,,,,,,,,,,,,,,,,,,,,
"Week Ending: 04/18/2026        Panel: Mediabase - Published Canada Panel        Format: Mainstream AC        GRC: Currents Only        Min Spins Cut off: 1        Show Top: 1000",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PK,Rank,,,Artist,Title,Label,Cancon,"Wks On",Spins,,,Dayparts,,,,,Impressions,,,,,Stations,,"Avg. Station Rotations",,,,"w/o OVN",,"6am to 7pm",,"Format By Format Rank",,,,,,
,LW,TW,,,,,,,TW,LW,+/-,OVN,AMD,MID,PMD,EVE,TW,LW,+/-,rTW,rLW,On,New,On,TW,LW,+/-,Rank,TW,Rank,TW,"Canada-Top 40","Canada-Hot AC","Canada-Main AC",Canada-Country,"Canada-Active Rock","Canada-Alternative Rock","Big Picture"
1,1,1,,"BRUNO MARS","I Just Might",Atlantic,,15,1032,1078,-46,333,142,235,169,153,2.706,2.852,-0.146,1,1,35,0,35,29.5,30.8,-1.3,1,699,1,546,1,1,1,-,-,49,1
2,2,2,Yes,RAYE,"WHERE IS MY HUSBAND!","Human Re/The Orchard",,14,983,960,23,311,140,213,178,141,2.527,2.567,-0.040,2,2,35,0,35,28.1,27.4,0.7,2,672,2,531,3,4,2,-,-,90,3
2,3,3,Yes,"TAYLOR SWIFT",Opalite,Republic,,21,919,917,2,281,127,193,176,142,2.336,2.277,0.059,3,3,35,0,35,26.3,26.2,0.1,3,638,3,496,5,2,3,-,-,-,2
1,4,4,Yes,"OLIVIA DEAN","Man I Need",Island/Republic,,25,831,804,27,251,122,196,123,139,1.896,1.732,0.164,4,4,35,0,35,23.7,23.0,0.8,4,580,4,441,8,3,4,-,-,50,5
1,5,5,,"TAYLOR SWIFT","The Fate Of Ophelia",Republic,,29,667,698,-31,191,104,166,84,122,1.571,1.621,-0.050,7,5,35,0,35,19.1,19.9,-0.9,5,476,5,354,-,5,5,-,-,-,11
1,6,6,,"ALEX WARREN",Ordinary,Atlantic,,51,617,641,-24,193,81,130,96,117,1.401,1.556,-0.155,8,6,35,0,35,17.6,18.3,-0.7,7,424,7,307,-,7,6,-,-,-,12
7,7,7,Yes,"ALEX WARREN","Fever Dream",Atlantic,,5,605,534,71,179,78,151,103,94,1.749,1.432,0.317,5,7,35,0,35,17.3,15.3,2.0,6,426,6,332,9,12,7,-,-,80,13
8,9,8,,"OLIVIA DEAN","So Easy (To Fall In Love)",Island/Republic,,8,502,507,-5,138,61,103,91,109,1.187,1.206,-0.019,11,10,35,0,35,14.3,14.5,-0.1,9,364,9,255,2,6,8,-,-,48,4
2,8,9,,"JUSTIN BIEBER",DAISIES,"Def Jam/Republic",,38,494,520,-26,114,90,88,74,128,0.995,1.024,-0.029,13,15,24,1,24,20.6,21.7,-1.1,8,380,10,252,-,9,9,-,-,105,17
10,11,10,Yes,"CHARLOTTE CARDIN","The Way We Touch","Cult Nation",Yes,4,475,378,97,147,40,134,83,71,1.604,1.269,0.335,6,9,26,1,26,15.3,12.2,3.1,10,328,8,257,13,13,10,-,-,44,20
6,10,11,Yes,"D GUETTA, T SWIMS, TONES AND I","Gone Gone Gone","Atlantic UK/Warner",,26,405,404,1,151,66,107,39,42,1.118,1.107,0.011,12,13,30,0,30,13.5,13.5,0.0,12,254,11,212,-,-,11,-,-,-,70
9,12,12,Yes,"WILLIAM CLOUTIER","Ou On Dansait Autrefois",Musicor,Yes,14,373,371,2,94,64,72,47,96,1.389,1.385,0.004,9,8,12,0,12,31.1,30.9,0.2,11,279,13,183,-,-,12,128,-,-,160
13,15,13,Yes,"ELLA LANGLEY","Choosin' Texas","SAWGOD/Col./Triple Tigers",,7,347,312,35,132,47,92,64,12,1.373,1.163,0.210,10,11,24,0,24,12.0,10.8,1.2,14,215,12,203,37,23,13,4,-,-,6
11,13,14,,"JADE LEMAC","Running Home","Warner Music Canada",Yes,16,324,355,-31,81,56,67,60,60,0.706,0.742,-0.036,22,20,23,0,23,14.1,15.4,-1.3,13,243,14,183,25,-,14,-,-,-,39
10,14,15,,"ROXANE BRUNEAU/MICHAEL BUBLE",Home,Inspire,Yes,9,283,325,-42,79,44,27,54,79,0.936,1.161,-0.225,16,12,12,0,12,23.6,27.1,-3.5,16,204,16,125,-,210,15,-,-,-,246
16,17,16,Yes,"BLEU JEANS BLEU","Scotch & Poches","La Tanière",Yes,5,255,234,21,52,42,53,24,84,0.986,0.916,0.070,14,16,12,0,12,21.3,19.5,1.8,17,203,18,119,-,120,16,-,-,-,271
14,16,17,,"LAURENCE NERBONNE",Greenlight,STE-4,Yes,12,234,268,-34,30,53,43,30,78,0.892,1.048,-0.156,17,14,12,0,12,19.5,22.3,-2.8,15,204,15,126,-,-,17,-,-,-,327
16,20,18,Yes,"FRANK WALKER/J. ROSS/N. JEAN..","Lay It On Me","Palm Tree",Yes,6,222,212,10,63,31,44,38,46,0.291,0.304,-0.013,34,33,16,0,16,12.3,11.8,0.6,19,159,20,113,-,19,18,-,-,-,64
19,23,19,Yes,SOMBR,Homewrecker,Warner,,2,219,184,35,63,31,54,34,37,0.269,0.256,0.013,37,35,18,0,18,11.5,9.7,1.8,20,156,19,119,7,11,19,-,-,20,15
13,22,20,Yes,"LUDOVICK BOURGEOIS","Jamais S'Oublier","Lao Productions",Yes,6,219,197,22,43,24,43,36,73,0.838,0.681,0.157,18,23,12,0,12,18.3,16.4,1.8,18,176,22,103,-,-,20,-,-,-,356
17,19,21,Yes,"SABRINA CARPENTER","When Did You Get Hot?",Island/Republic,,8,215,212,3,61,37,43,23,51,0.320,0.347,-0.027,32,30,22,0,22,9.8,9.6,0.1,21,154,23,103,4,10,21,-,-,-,7
16,18,22,,"MYLES SMITH & NIALL HORAN","Drive Safe",RCA,,9,211,223,-12,70,28,58,35,20,0.813,0.821,-0.008,19,17,11,0,11,19.2,20.3,-1.1,23,141,17,121,-,32,22,-,-,322,238
23,27,23,Yes,"JENNIFER LOPEZ & DAVID GUETTA","Save Me Tonight",Warner,,4,202,168,34,92,14,50,46,0,0.948,0.727,0.221,15,21,12,0,12,16.8,14.0,2.8,32,110,21,110,263,363,23,-,-,-,402
20,21,24,,"JF PAUZE","Puisqu'Il Faut","La Tribu",Yes,11,194,202,-8,49,34,45,18,48,0.739,0.786,-0.047,20,18,6,0,6,32.3,33.7,-1.3,22,145,25,97,-,37,24,-,-,-,273
21,25,25,,"COEUR DE PIRATE",Melancolie,"Bravo Musique",Yes,10,178,181,-3,47,18,30,35,48,0.685,0.601,0.084,24,26,12,0,12,14.8,15.1,-0.3,24,131,29,83,-,63,25,-,-,-,387
