Published Chart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week Ending: 04/18/2026        Panel: Mediabase - Published Smooth AC Panel        Format: Smooth Jazz        GRC: Currents Only        Min Spins Cut off: 1        Show Top: 1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PK,Rank,,,Artist,Title,Label,Wks On,Spins,,,Dayparts,,,,,Impressions,,,,,Stations,,Avg. Station Rotations,,,,w/o OVN,,6am to 7pm,,Format By Format Rank,
,LW,TW,,,,,,TW,LW,+/-,OVN,AMD,MID,PMD,EVE,TW,LW,+/-,rTW,rLW,On,New,On,TW,LW,+/-,Rank,TW,Rank,TW,Smooth Jazz,Big Picture
1,1,1,,NORMAN BROWN,Chillax,Shanachie,9,232,233,-1,54,37,55,48,38,0.159,0.169,-0.01,5,1,13,0,13,17.8,17.9,-0.1,1,178,1,140,1,-
2,6,2,Yes,CAROL ALBERT,City Walk,Cahara,7,211,195,16,47,36,50,37,41,0.16,0.148,0.012,4,7,13,0,13,16.2,15,1.2,2,164,4,123,2,-
3,7,3,Yes,TNR COLLECTIVE,Colors,Trippin N Rhythm,8,210,194,16,46,35,53,36,40,0.161,0.158,0.003,3,4,13,0,13,16.2,14.9,1.2,3,164,3,124,3,-
4,4,4,Yes,BRIAN CULBERTSON,Morning Light f/E. Marienthal,BCM,11,205,199,6,46,31,52,42,34,0.168,0.16,0.008,1,3,13,0,13,15.8,15.3,0.5,5,159,2,125,4,-
3,3,5,,RICK BRAUN,Give It All You Got f/T. Scott,Brauntosoarus,14,203,204,-1,43,34,52,37,37,0.161,0.162,-0.001,2,2,13,0,13,15.6,15.7,-0.1,4,160,5,123,5,-
6,8,6,Yes,MICHAEL BROENING,Make It Last,B-Hive,8,199,190,9,43,28,51,36,41,0.156,0.147,0.009,7,8,13,0,13,15.3,14.6,0.7,6,156,7,115,6,-
7,11,7,Yes,PHYLICIA RAE,Take Your Time,Next Paradigm,7,190,170,20,38,33,50,33,36,0.158,0.143,0.015,6,9,13,0,13,14.6,13.1,1.5,7,152,6,116,7,-
1,2,8,,WAKANA,After Hours,Equity,12,189,220,-31,39,33,42,35,40,0.087,0.134,-0.047,26,13,13,0,13,14.5,16.9,-2.4,8,150,8,110,8,-
5,5,9,,GERALD ALBRIGHT,More Than Enough,Bright Music,9,185,198,-13,45,30,45,35,30,0.153,0.152,0.001,8,6,13,0,13,14.2,15.2,-1,9,140,9,110,9,-
