Station Playlist,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Report Cycle: Published        LW: 04/05/2026 - 04/11/2026        TW: 04/12/2026 - 04/18/2026        Panel: Mediabase - Published Canada Panel        GRC: Currents Only        Show Top: 500        Station: CIWV-FM/Canada-Main AC/Vancouver, BC/Durham Radio Inc",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station Rank,,Artist,Title,Cancon,Label,Year,Spins,,,Dayparts,,,,,Market Info,,Impressions,,Historical Data Since: 11/23/2023,,Format Comparison,,,6am to 7pm,,W/O Ovn,
LW,TW,,,,,,TW,LW,+/-,OVN,AMD,MID,PMD,EVE,CIWV-FM Share(%),Market Spins TW,Reach/ Mill,Imp Rank,First Played,Hist Spins,Rank,Avg,CIWV,Rank,TW,Rank,TW
1,1,OLIVIA DEAN,So Easy (To Fall In Love),,Island/Republic,2025,17,16,1,5,3,3,2,4,12,143,0,1,02/24/26,127,8,14,3,4,8,1,12
2,2,BRUNO MARS,I Just Might,,Atlantic,2026,16,16,0,4,3,3,3,3,9,187,0,2,01/20/26,211,1,29,-13,1,9,3,12
3,3,CORY WONG,Tongue Tied f/Stephen Day,,No Coincidence,2025,16,16,0,4,2,4,3,3,100,16,0,4,2012-09-25,308,-Rec-,0,16,2,9,4,12
4,4,KEM,Give My Love f/Boney James,,Kemistry,2025,16,15,1,4,3,3,3,3,100,16,0,5,03/31/26,47,-Rec-,0,16,3,9,2,12
5,5,CHARLIE PUTH,Changes,,Atlantic,2025,16,15,1,4,2,4,2,4,94,17,0,3,12/30/25,257,103,1,15,5,8,5,12
8,6,SKINNY HIGHTOWER,Red Lights,,CastOver,2026,14,13,1,3,2,4,1,4,100,14,0,7,03/31/26,41,-Rec-,0,14,6,7,6,11
10,7,BLAKE AARON,The Upside,,Innervision,2026,14,12,2,6,1,3,2,2,100,14,0,6,03/25/26,51,-Rec-,0,14,8,6,10,8
6,8,CAROL ALBERT,City Walk,,Cahara,2025,13,13,0,3,2,4,0,4,100,13,0,8,03/18/26,60,-Rec-,0,13,9,6,8,10
12,9,GREGORY GOODLOE,Unlimited,,Hip Jazz,2025,13,12,1,5,1,2,2,3,100,13,0,9,2003-04-26,86,-Rec-,0,13,15,5,11,8
14,10,MINDI ABAIR,Nouveau Soul,,Pretty Good For A Girl,2025,13,11,2,5,1,3,2,2,100,13,0,10,2002-07-26,102,-Rec-,0,13,10,6,12,8
16,11,PAUL BROWN,So Much To Say,,Shanachie,2025,13,9,4,2,2,3,2,4,100,13,0,11,2004-07-26,26,-Rec-,0,13,7,7,7,11
11,12,NORMAN BROWN,Chillax,,Shanachie,2026,12,12,0,4,2,1,1,4,100,12,0,14,02/28/26,76,-Rec-,0,12,17,4,14,8
13,13,JJ SANSAVERINO,Let It Go,,Innervision,2026,12,12,0,4,0,3,3,2,100,12,0,13,2002-10-26,125,-Rec-,0,12,11,6,15,8
15,14,JEFF RYAN,Speakeasy,,Woodward Avenue,2024,12,11,1,4,0,5,1,2,100,12,0,12,11/15/25,111,-Rec-,0,12,12,6,13,8
7,15,RICK BRAUN,Give It All You Got f/T. Scott,,Brauntosoarus,2025,11,13,-2,2,1,4,1,3,100,11,0,15,2002-03-26,140,-Rec-,0,11,13,6,9,9
,16,MICHAEL BROENING,Make It Last,,B-Hive,2026,9,0,9,2,1,2,1,3,100,9,0,16,04/14/26,13,-Rec-,0,9,18,4,17,7
17,17,ELYSIA BIRO,Gentleman Blue,Yes,Deutsche Grammophon/UMC,2026,8,7,1,0,2,2,2,2,89,9,0,17,03/31/26,22,243,1,7,14,6,16,8
18,18,"ALEXANDER BOYNTON, JR.",Laughter f/David Mann,,A-trainbass,2025,7,7,0,0,2,1,1,3,100,7,0,18,01/27/26,84,-Rec-,0,7,19,4,18,7
19,19,STEVE OLIVER,Dancing In The Sand f/P. White,,Wide Sky,2026,7,7,0,0,1,2,2,2,100,7,0,20,2003-03-26,49,-Rec-,0,7,16,5,20,7
21,20,AVERY RAQUEL,Slow Motion,Yes,---,2026,7,7,0,0,2,1,1,3,100,7,0,19,2003-10-26,42,-Rec-,0,7,20,4,19,7
,21,GABRIEL MARK HASSELBACH,Swizzle Stick f/C. Standring,,Ultimate Vibe,2026,5,0,5,0,1,1,1,2,100,5,0,21,04/14/26,8,-Rec-,0,5,21,3,21,5
,22,KYLIE MINOGUE,Padam Padam,,BMG,2023,5,0,5,2,1,1,0,1,100,5,0,22,11/28/23,304,-Rec-,0,5,24,2,22,3
9,23,3RD FORCE,Onward And Upward f/L. Rollins,,Baja/TSR,2025,4,12,-8,2,0,0,1,1,100,4,0,23,01/27/26,142,-Rec-,0,4,50,1,29,2
20,24,RAHN BROTHERS,Pacific Breeze,Yes,Side 2,2025,4,7,-3,1,1,0,1,1,100,4,0,25,2012-09-25,130,-Rec-,0,4,25,2,23,3
86,25,WALLE LARSSON,10 West,Yes,Dock Side,2021,4,2,2,1,1,1,0,1,100,4,0,26,04/23/24,256,-Rec-,0,4,26,2,25,3
178,26,OLIVIA DEAN,Man I Need,,Island/Republic,2025,4,1,3,1,1,1,0,1,3,116,0,24,2010-01-25,278,4,23,-19,27,2,24,3
22,27,AOS (ARCHITECTS OF SOUND),Every Kinda People f/ERoberson,,SRG Jazz,2025,3,5,-2,1,0,0,2,0,100,3,0,27,2011-12-25,258,-Rec-,0,3,28,2,45,2
24,28,BRUNO MARS/A .PAAK/SILK SONIC,Love's Train,,Aftermath Ent/Atlantic,2022,3,4,-1,1,0,1,1,0,100,3,0,29,11/23/23,255,-Rec-,0,3,29,2,34,2
25,29,STEVE OLIVER,A Kind Heart,Yes,Wide Sky,2024,3,4,-1,1,0,1,0,1,100,3,0,50,2003-06-24,360,-Rec-,0,3,51,1,31,2
26,30,STEPHEN SANCHEZ,Be More,,Mercury/Republic,2023,3,4,-1,1,1,1,0,0,100,3,0,49,11/23/23,279,-Rec-,0,3,30,2,43,2
30,31,ELYSIA BIRO,Just Wait A Minute,Yes,Deutsche Grammophon/UMC,2025,3,3,0,1,0,0,1,1,100,3,0,32,11/18/25,115,-Rec-,0,3,52,1,46,2
